date,open,high,low,close,volume_base,quote_volume_usd,number_of_trades,taker_buy_base,taker_buy_quote,binance_symbol
2023-03-23,0.5,1.6,0.5,1.3217,495714259.2,669932083.21377,1554607,239582225.3,324232707.79253,ARBUSDT
2023-03-24,1.3218,1.5675,1.1717,1.2727,543509688.1,752523772.91822,1454212,256537764.5,356122482.00129,ARBUSDT
2023-03-25,1.2726,1.315,1.18,1.2178,281919109.5,349520142.61178,594751,132853921.8,164852695.4293,ARBUSDT
2023-03-26,1.2179,1.3499,1.2021,1.2818,242122030.3,310185662.0224,450244,121101774.6,155184560.24642,ARBUSDT
2023-03-27,1.2818,1.3259,1.116,1.1657,255551499.3,311604780.54595,478861,116410350.0,142328793.16518,ARBUSDT
2023-03-28,1.1658,1.224,1.11,1.2204,202773340.2,234892901.28842,368178,101468149.3,117815450.54963,ARBUSDT
2023-03-29,1.2202,1.2767,1.1957,1.2257,192740067.4,237899785.88639,327097,95260399.0,117662729.89337,ARBUSDT
2023-03-30,1.2257,1.43,1.2234,1.3796,432682328.8,578876650.49493,800177,222740167.3,298007301.57198,ARBUSDT
2023-03-31,1.3795,1.445,1.3274,1.3897,237400514.1,328861551.68498,481411,120354416.3,166873172.49637,ARBUSDT
2023-04-01,1.3897,1.4028,1.26,1.2931,176749888.6,233821986.97862,351155,81882061.9,108275353.11871,ARBUSDT
2023-04-02,1.293,1.2985,1.1329,1.2016,273657244.1,331454458.65718,510219,134871807.1,163428692.30468,ARBUSDT
2023-04-03,1.2017,1.2279,1.1,1.153,238034627.3,280329403.36809,480886,113927329.6,134370729.221,ARBUSDT
2023-04-04,1.1527,1.2687,1.1479,1.2345,175931684.0,212519021.88563,339191,92979020.9,112386980.62921,ARBUSDT
2023-04-05,1.2345,1.2905,1.2046,1.2425,147233101.0,184702389.63259,308117,72829918.3,91450838.62234,ARBUSDT
2023-04-06,1.2419,1.2444,1.18,1.2149,93713487.2,113173742.52655,227094,45582544.4,55059651.02043,ARBUSDT
2023-04-07,1.2151,1.2469,1.1813,1.197,76374712.6,92414847.97276,185853,36323679.1,43989921.79432,ARBUSDT
2023-04-08,1.1969,1.21,1.1523,1.1618,57591943.0,68131764.02687,146087,25671366.2,30409254.14165,ARBUSDT
2023-04-09,1.1618,1.2,1.1431,1.1815,59181617.2,69163981.78289,140203,29097338.6,34035243.32405,ARBUSDT
2023-04-10,1.1815,1.2539,1.1625,1.2423,98770687.8,118976514.6686,184296,50232772.5,60597476.06587,ARBUSDT
2023-04-11,1.2423,1.259,1.2032,1.2164,85393969.6,105254360.64188,165996,41647632.9,51350540.40925,ARBUSDT
2023-04-12,1.2162,1.2193,1.1528,1.1934,103650019.0,122754788.29227,200475,49522981.8,58659558.87483,ARBUSDT
2023-04-13,1.1935,1.377,1.1777,1.369,229925695.5,301216866.63952,436333,118002129.7,154286069.16094,ARBUSDT
2023-04-14,1.3689,1.745,1.368,1.6985,531188625.7,826118730.3246701,1141885,275961711.2,428934042.99811,ARBUSDT
2023-04-15,1.6982,1.744,1.595,1.6531,248513399.8,414207243.82855,572672,127733427.1,212974825.0522,ARBUSDT
2023-04-16,1.6531,1.7228,1.572,1.6957,203386521.6,332642833.7275,432930,99635034.6,163068068.58451,ARBUSDT
2023-04-17,1.6957,1.6993,1.5819,1.6091,160893493.5,261945283.42304,364598,78093094.8,127144681.23327,ARBUSDT
2023-04-18,1.6093,1.82,1.582,1.6731,300760709.2,516812935.81904,643663,156810891.2,269603724.61926,ARBUSDT
2023-04-19,1.6726,1.6966,1.4543,1.4888,280622993.7,438441810.19323,699250,133863905.9,209123951.29891,ARBUSDT
2023-04-20,1.4886,1.545,1.4036,1.442,241956942.9,358454314.24985,495571,116995112.1,173401698.65765,ARBUSDT
2023-04-21,1.4419,1.5036,1.41,1.4719,234777423.3,340360740.76319,473427,118027907.6,171192462.25178,ARBUSDT
2023-04-22,1.4717,1.5003,1.42,1.4652,161249474.5,235315083.39117,320905,83979948.2,122611932.35895,ARBUSDT
2023-04-23,1.4652,1.4652,1.3,1.3405,162687287.9,224688696.81425,324578,81040945.2,111842202.76942,ARBUSDT
2023-04-24,1.3405,1.3689,1.28,1.3385,160683841.4,213192113.69572,308157,79312937.2,105272130.75677,ARBUSDT
2023-04-25,1.3382,1.3873,1.2933,1.3794,159350211.5,211600050.84145,299761,80057333.6,106357944.76323,ARBUSDT
2023-04-26,1.3794,1.5052,1.32,1.384,266578020.3,377385261.30504,486404,128138389.1,181431924.41437,ARBUSDT
2023-04-27,1.3841,1.4544,1.37,1.4232,143289522.4,203146460.17556,291360,71536654.3,101448195.18853,ARBUSDT
2023-04-28,1.4232,1.4439,1.36,1.3799,95044843.4,133226120.3102,189966,45176924.0,63308131.42785,ARBUSDT
2023-04-29,1.3801,1.3948,1.33,1.3675,43764208.7,60010394.27391,97642,20448341.2,28049539.0986,ARBUSDT
2023-04-30,1.3675,1.4254,1.3464,1.3683,72287055.3,100112370.08527,144957,34964542.5,48427259.87212,ARBUSDT
2023-05-01,1.3685,1.3908,1.288,1.3187,85547899.4,114210187.43188,165281,40289840.6,53848325.4943,ARBUSDT
2023-05-02,1.3187,1.3595,1.3073,1.3486,57278100.9,76124744.3507,120508,28828250.8,38325967.26887,ARBUSDT
2023-05-03,1.3486,1.3638,1.2954,1.3428,80533908.5,106664763.85367,170769,39610860.3,52477584.92509,ARBUSDT
2023-05-04,1.3428,1.3652,1.3073,1.3183,66484608.2,88645379.87799,121494,32446123.8,43266330.51275,ARBUSDT
2023-05-05,1.3184,1.3667,1.29,1.3562,85542674.2,113946289.10653,153480,44325144.6,59063628.46952,ARBUSDT
2023-05-06,1.3562,1.3679,1.2155,1.2393,125932908.6,160010840.58745,231282,57718462.5,73235375.08507,ARBUSDT
2023-05-07,1.2393,1.2599,1.2161,1.2194,66932603.8,83048839.84269,127715,34152272.7,42398292.68374,ARBUSDT
2023-05-08,1.2193,1.23,1.0111,1.0945,190017957.6,213874646.70951,424330,87261483.9,98383551.33446,ARBUSDT
2023-05-09,1.0946,1.1201,1.0772,1.1029,94286343.0,103527552.98898,173177,46421447.5,50976099.64678,ARBUSDT
2023-05-10,1.1031,1.2058,1.0867,1.1709,199788891.5,229285581.70712,338263,99150618.4,113812142.45845,ARBUSDT
2023-05-11,1.1708,1.1722,1.0503,1.0888,129897745.9,143455263.76381,225728,61624961.8,68057134.17426,ARBUSDT
2023-05-12,1.0889,1.1777,1.0608,1.172,130976835.8,145633499.00179,277334,64874156.4,72212687.91713,ARBUSDT
2023-05-13,1.172,1.1916,1.1438,1.1701,72548008.2,84728589.58257,152262,36313732.0,42402414.42755,ARBUSDT
2023-05-14,1.17,1.2078,1.1416,1.1705,63566039.5,74705802.72839,147214,32223956.2,37872235.00906,ARBUSDT
2023-05-15,1.1703,1.23,1.1478,1.1883,88401390.7,106324682.67058,191357,42780896.2,51435406.86515,ARBUSDT
2023-05-16,1.1884,1.2133,1.1625,1.1802,69837029.8,82855958.02706,149146,34587456.8,41053809.56334,ARBUSDT
2023-05-17,1.1801,1.2124,1.1314,1.1984,75624032.3,89146910.46743,157418,36535159.2,43085793.72759,ARBUSDT
2023-05-18,1.1984,1.2149,1.1361,1.1558,65314586.5,76883153.08293,130553,32066215.4,37751606.83348,ARBUSDT
2023-05-19,1.1561,1.1733,1.1416,1.1636,44685807.2,51668201.33462,95291,22166417.6,25630590.00948,ARBUSDT
2023-05-20,1.1636,1.1695,1.1498,1.1634,24322161.6,28180471.53521,50370,11221206.1,13006852.47534,ARBUSDT
2023-05-21,1.1636,1.1711,1.1095,1.1275,35299855.5,40276003.06053,83324,16035211.8,18292218.47849,ARBUSDT
2023-05-22,1.1274,1.1403,1.1056,1.1254,34381113.0,38611452.83196,77933,17184748.6,19300511.33458,ARBUSDT
2023-05-23,1.1254,1.1806,1.1191,1.1666,49638479.1,57690853.28957,99467,24126388.7,28026329.21305,ARBUSDT
2023-05-24,1.1666,1.1672,1.0801,1.1093,67414125.4,75200353.61181,133547,31194573.5,34769504.66636,ARBUSDT
2023-05-25,1.1093,1.1164,1.0672,1.1066,55170483.9,60602298.71994,110610,26823104.5,29453194.4686,ARBUSDT
2023-05-26,1.1066,1.181,1.1032,1.1578,77326911.2,89034284.94026,163491,38470463.3,44324836.18971,ARBUSDT
2023-05-27,1.1578,1.1787,1.1502,1.1721,38743611.5,45029366.10125,81373,19016091.2,22108015.73732,ARBUSDT
2023-05-28,1.1721,1.2592,1.1642,1.2481,83679711.7,101141790.5438,160292,41746687.5,50451614.19811,ARBUSDT
2023-05-29,1.2482,1.2798,1.205,1.2266,77856522.9,96747128.48614,157580,36988074.5,45968477.20765,ARBUSDT
2023-05-30,1.2267,1.2482,1.2067,1.2181,59864078.4,73613998.58932,124999,29803786.8,36653083.1219,ARBUSDT
2023-05-31,1.2182,1.2363,1.135,1.1607,69174488.3,81298215.67678,130342,32687246.5,38400214.09962,ARBUSDT
2023-06-01,1.1606,1.1679,1.1281,1.1461,33505494.3,38554702.26647,75026,14994108.3,17261152.77216,ARBUSDT
2023-06-02,1.1461,1.2586,1.1347,1.2407,85117991.9,104091305.3718,180773,42606406.8,52091545.79991,ARBUSDT
2023-06-03,1.2409,1.2572,1.2037,1.2158,43809651.8,54000378.91452,97542,21508831.3,26530392.39986,ARBUSDT
2023-06-04,1.2157,1.2354,1.2001,1.2071,27355404.2,33391584.00324,59547,13322716.5,16268453.9831,ARBUSDT
2023-06-05,1.2067,1.2067,1.0613,1.1356,115265008.0,131799959.66909,242705,53576115.3,61306996.4569,ARBUSDT
2023-06-06,1.1355,1.2,1.104,1.1896,97763425.0,112544999.62166,210351,47680593.7,54909111.62997,ARBUSDT
2023-06-07,1.1896,1.1958,1.1159,1.1261,57219238.6,66055816.3183,145598,27030461.1,31185421.82925,ARBUSDT
2023-06-08,1.1261,1.1514,1.1056,1.1287,39436174.5,44452960.67135,91005,18863497.3,21263138.75635,ARBUSDT
2023-06-09,1.1288,1.154,1.1145,1.1317,28506124.3,32330963.88899,69482,13288483.1,15082182.96187,ARBUSDT
2023-06-10,1.1317,1.1338,0.9294,0.9932,166047016.3,168049027.44013,404596,76345688.5,77231502.14936,ARBUSDT
2023-06-11,0.9933,1.0178,0.974,0.992,50770338.8,50599111.14446,114379,23955394.0,23883270.35108,ARBUSDT
