symbol,label,binance_symbol,event_date,event_name,source_url,car_0_1,car_0_7,car_0_30,car_0_90,post7_quote_volume_usd,post30_quote_volume_usd,post90_quote_volume_usd,post7_volatility,post30_volatility,post90_volatility,post7_amihud,post30_amihud,post90_amihud,post7_trades,post30_trades,post90_trades,price_event_day,price_day_30,price_day_90
UNI,Uniswap,UNIUSDT,2020-09-17,UNI airdrop / trading start,https://blog.uniswap.org/uni,0.9999242294036663,0.8256691425042741,0.3009825062754306,-0.006492731533882079,381013694.725136,137259712.06701112,34976631.64279012,0.2594806598484092,0.09876733795905045,0.0627602805496187,0.0005834903907169918,0.0008903686926964871,0.002376896856902864,695138.125,269150.2580645161,96407.31666666667,3.4617,3.0566,3.5357
ENS,ENS,ENSUSDT,2021-11-10,ENS claim / trading start,https://docs.ens.domains/dao/token/,-0.25965701935815805,-0.3071171880054939,-0.10799717960614968,-0.6165173390717341,158682578.9883375,116344960.06981611,26029430.297606662,0.062191224820207384,0.08625582544931198,0.05328296713123786,0.0004078311612102486,0.0008963654357611312,0.002216647782528508,280868.875,199770.74193548388,59326.55,73.82,42.61,20.1
APT,Aptos,APTUSDT,2022-10-19,Aptos community airdrop announcement,https://aptosfoundation.org/currents/aptos-airdrop-announcement,0.009655119893633657,0.10896660096670252,-0.22111923451012622,0.12120553386526967,229425390.14254963,118375262.97253515,38614762.30587145,0.06585733566795739,0.06857774167906881,0.04172586311657984,0.00034321131158457656,0.0007657807120074621,0.0014611064152424665,401943.5,262495.2580645161,99218.03333333334,7.3207,4.7177,7.6105
ARB,Arbitrum,ARBUSDT,2023-03-23,ARB airdrop claim date,https://blog.arbitrum.foundation/arbitrum-the-next-phase-of-decentralization/,-0.004510196431042501,0.06696399491710375,0.15787346392879587,-0.09505983568609433,430679472.3727325,313951949.4664687,97465820.67355649,0.05716685429235319,0.05126494306432557,0.030067292102125446,0.00015253053222000966,0.00018476006066726864,0.0003200104906766119,753515.875,494527.22580645164,167568.48333333334,1.3217,1.4652,1.1405
